,bid,ask,last,openinterest,type,expiration,strike,underlying,underlying_last,quotedate,implied_vol,delta,gamma,vega,theta,rho,ticker,event_date,day_to_event
2016-02-03,1163.0,1171.0,1185.5,0.0,put,2016-02-18,6050,AS51,4876.7570000000005,2016-02-03,0.5729079720296322,-0.9629019528041863,0.00013718051890437662,0.768135670877833,-1.7638605339429447,-2.4169885638293778,AS51 02-18-16 P6050 Index,2015-12-16,-49
2016-02-04,1072.0,1134.0,1082.0,0.0,put,2016-02-18,6050,AS51,4980.359,2016-02-04,0.5468261335537693,-0.9602253498566553,0.00015507370595565698,0.8067591455449059,-1.8839917306669482,-2.249307876290805,AS51 02-18-16 P6050 Index,2015-12-16,-50
2016-02-05,1097.0,1167.0,1088.2,0.0,put,2016-02-18,6050,AS51,4976.1759999999995,2016-02-05,0.5972882558087788,-0.9525513972068127,0.00017148272699085544,0.9033297412810352,-2.3801396518587037,-2.0758198416468794,AS51 02-18-16 P6050 Index,2015-12-16,-51
2016-02-08,1060.0,1140.0,1089.4,0.0,put,2016-02-18,6050,AS51,4975.393,2016-02-08,0.6976553028761203,-0.9485591426900826,0.00018006146210529288,0.8519686006617091,-3.275245894273073,-1.5914669914044484,AS51 02-18-16 P6050 Index,2015-12-16,-54
2016-02-09,1176.0,1256.0,1237.4,0.0,put,2016-02-18,6050,AS51,4832.076,2016-02-09,0.8872762108402482,-0.9382136081558654,0.00017845926715311154,0.9116226362907547,-4.7759117953337755,-1.4229664419065824,AS51 02-18-16 P6050 Index,2015-12-16,-55
2016-02-10,1283.0,1363.0,1302.4,0.0,put,2016-02-18,6050,AS51,4775.68,2016-02-10,1.0761201316137787,-0.9196356180648266,0.0001942010426329167,1.0446718042223118,-7.294653888452503,-1.2480625596668125,AS51 02-18-16 P6050 Index,2015-12-16,-56
2016-02-11,1229.0,1309.0,1245.5,0.0,put,2016-02-18,6050,AS51,4821.077,2016-02-11,0.9841669906948651,-0.9445743907572203,0.0001682035942909273,0.7378997747168858,-5.470645163633368,-1.1122071531638502,AS51 02-18-16 P6050 Index,2015-12-16,-57
2016-02-12,1260.0,1340.0,1313.6,0.0,put,2016-02-18,6050,AS51,4765.346,2016-02-12,1.267110462035699,-0.9171743293287176,0.00019576410015568536,0.9259654735540072,-10.04381944554757,-0.9343977569702936,AS51 02-18-16 P6050 Index,2015-12-16,-58
2016-02-15,1209.0,1289.0,1226.9,0.0,put,2016-02-18,6050,AS51,4843.46,2016-02-15,1.5701606172547127,-0.931931337661116,0.0001897710450067587,0.5745315126910404,-15.316367328186931,-0.471836067674639,AS51 02-18-16 P6050 Index,2015-12-16,-61
2016-02-16,1149.0,1229.0,1136.9,0.0,put,2016-02-18,6050,AS51,4910.037,2016-02-16,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-62
